title,village,area,type,size,ori,info,rent,people,dist
高桥 新城新世界两居室 办公居家都可以 看房方便,新城新世界三期  ,高桥租房,2室1厅  ,90平米  ,南,距离城际铁路树木岭站站1000米,2300,17,yuhua
滨江美寓 4室2厅 4000元,滨江美寓  ,开福区政府租房,4室2厅  ,164平米  ,南,距离1号线马厂站764米,4000,0,kaifu
莲湖建材市场 6室2厅 3000元,莲湖建材市场  ,井湾子租房,6室2厅  ,180平米  ,南,随时看房,3000,0,yuhua
芙蓉明珠 1室1厅 2160元,芙蓉明珠  ,尚东租房,1室1厅  ,40平米  ,北,/,2160,/,furong
湘域熙岸 3室2厅 3500元,湘域熙岸  ,尚东租房,3室2厅  ,126平米  ,南,距离2号线人民东路站534米,3500,0,furong
北辰三角洲奥城D3区 3室2厅 3300元,北辰三角洲奥城D3区  ,北辰三角洲租房,3室2厅  ,100平米  ,南,距离1号线北辰三角洲站596米,3300,1,kaifu
万博汇名邸一期 2室2厅 3600元,万博汇名邸一期  ,雨花亭租房,2室2厅  ,88平米  ,南,随时看房,3600,0,yuhua
湘府9号 2室1厅 2600元,湘府9号  ,德思勤租房,2室1厅  ,88平米  ,南,距离1号线省政府站1022米,2600,0,tianxin
万科城市花园 3室2厅 3000元,万科城市花园  ,梅溪湖北岸租房,3室2厅  ,89平米  ,南 北,随时看房,3000,3,yuelu
恒鑫澜北湾 4室2厅 3500元,恒鑫澜北湾  ,开福区政府租房,4室2厅  ,134平米  ,南 北,随时看房,3500,2,kaifu
新城新世界二期 2室2厅 2200元,新城新世界二期  ,高桥租房,2室2厅  ,90平米  ,南,距离城际铁路树木岭站站1097米,2200,9,yuhua
芙蓉明珠 1室1厅 2728元,芙蓉明珠  ,尚东租房,1室1厅  ,50平米  ,南,/,2728,/,furong
德政园润心苑 低楼层100平三房 居家简装,德政园润心苑  ,德政园租房,3室2厅  ,109平米  ,南 北,距离2号线锦泰广场站1158米,2600,0,furong
天健壹平方英里 3室2厅 5200元,天健壹平方英里  ,伍家岭租房,3室2厅  ,87平米  ,南,距离1号线开福寺站811米,5200,3,kaifu
梅溪湖壹号三期 3室2厅 2500元,梅溪湖壹号三期  ,梅溪湖南岸租房,3室2厅  ,107平米  ,南,随时看房,2500,2,yuelu
精装修一房，采光充足，看房方便,兰亭优壳  ,赤岗冲租房,1室0厅  ,44平米  ,西,随时看房,1600,0,yuhua
博林金谷 4室2厅 10000元,博林金谷  ,新开铺租房,4室2厅  ,136平米  ,南,距离1号线铁道学院站488米,10000,1,tianxin
东方新世界 2室1厅 2100元,东方新世界  ,左家塘租房,2室1厅  ,64平米  ,南,随时看房,2100,9,yuhua
万科城 3室2厅 3000元,万科城  ,福元西路租房,3室2厅  ,90平米  ,南,距离1号线马厂站967米,3000,4,kaifu
运通尊苑 3室2厅 2400元,运通尊苑  ,马王堆租房,3室2厅  ,108平米  ,南 北,距离2号线锦泰广场站519米,2400,0,furong
芙蓉明珠 1室1厅 2200元,芙蓉明珠  ,尚东租房,1室1厅  ,40平米  ,南,/,2200,/,furong
恒大华府 2室2厅 2300元,恒大华府  ,市政府租房,2室2厅  ,90平米  ,南,随时看房,2300,5,yuelu
长远华樟名府 3室1厅 3200元,长远华樟名府  ,尚东租房,3室1厅  ,137平米  ,南,距离2号线人民东路站1040米,3200,0,yuhua
博林金谷 1室1厅 2400元,博林金谷  ,新开铺租房,1室1厅  ,61平米  ,南,距离1号线铁道学院站485米,2400,0,tianxin
万国城三期 3室2厅 2700元,万国城三期  ,福元西路租房,3室2厅  ,90平米  ,南,随时看房,2700,3,kaifu
青园 2室2厅 2500元,青园  ,铁道学院租房,2室2厅  ,80平米  ,南,距离1号线友谊路站648米,2500,3,tianxin
恒大御景半岛 2室1厅 3500元,恒大御景半岛  ,开福区政府租房,2室1厅  ,85平米  ,南 北,距离1号线马厂站929米,3500,10,kaifu
保利花园三期 3室1厅 2500元,保利花园三期  ,省政府租房,3室1厅  ,86平米  ,南,/,2500,/,tianxin
蓝光雍锦阁 3室2厅 3000元,蓝光雍锦阁  ,桐梓坡租房,3室2厅  ,130平米  ,南,随时看房,3000,4,yuelu
鑫天御景湾 2室1厅 1700元,鑫天御景湾  ,喜盈门租房,2室1厅  ,51平米  ,南,随时看房,1700,2,yuhua
富湾国际 4室1厅 7500元,富湾国际  ,开福区政府租房,4室1厅  ,260平米  ,南,随时看房,7500,5,kaifu
长房时代城 3室1厅 3200元,长房时代城  ,河西人人乐租房,3室1厅  ,91平米  ,南,随时看房,3200,8,yuelu
浏阳河旁，河景房，中 央空调，精装一房,菲莎公馆  ,马王堆租房,1室1厅  ,47平米  ,东,/,2100,/,furong
上海城大四房 双阳台 拎包入住 高楼层 视野超好,上海城  ,韶山南路租房,4室2厅  ,140平米  ,南 北,/,3000,/,yuhua
芙蓉明珠 1室0厅 2200元,芙蓉明珠  ,尚东租房,1室0厅  ,40平米  ,南,/,2200,/,furong
第一湾 2室1厅 2300元,第一湾  ,四方坪租房,2室1厅  ,86平米  ,南,随时看房,2300,21,kaifu
锦湘国际星城三期 2室2厅 2600元,锦湘国际星城三期  ,尚东租房,2室2厅  ,95平米  ,南,随时看房,2600,2,yuhua
南国嘉苑 5室2厅 5200元,南国嘉苑  ,新开铺租房,5室2厅  ,166平米  ,南,距离1号线铁道学院站724米,5200,1,tianxin
沁园春御院 3室1厅 3200元,沁园春御院  ,河西步步高租房,3室1厅  ,111平米  ,南,随时看房,3200,8,yuelu
华菱新城地标 2室2厅 2500元,华菱新城地标  ,武广新租房,2室2厅  ,90平米  ,南,随时看房,2500,2,yuhua
奥克斯广场 1室0厅 3300元,奥克斯广场  ,银盆岭租房,1室0厅  ,45平米  ,东南,/,3300,/,yuelu
北辰三角洲D2区 2室1厅 3200元,北辰三角洲D2区  ,北辰三角洲租房,2室1厅  ,88平米  ,南,距离1号线北辰三角洲站193米,3200,2,kaifu
全新装修 家私电齐全 随时可看~,北辰三角洲凤凰公元  ,北辰三角洲租房,4室2厅  ,145平米  ,南,随时看房,6500,0,kaifu
美林银谷国际社区 3室1厅 3280元,美林银谷国际社区  ,河西步步高租房,3室1厅  ,134平米  ,南,随时看房,3280,1,yuelu
东玺门 2室1厅 2800元,东玺门  ,马王堆租房,2室1厅  ,88平米  ,北,距离2号线万家丽广场站192米,2800,2,furong
长房天翼未来城 3室1厅 4000元,长房天翼未来城  ,左家塘租房,3室1厅  ,136平米  ,南,随时看房,4000,2,yuhua
东方银座 1室0厅 1600元,东方银座  ,马王堆租房,1室0厅  ,42平米  ,东,距离2号线锦泰广场站971米,1600,1,furong
人民东路 品质别墅 水云间 居家精装修,水云间  ,尚东租房,4室2厅  ,225平米  ,南 北,距离2号线人民东路站440米,11000,0,yuhua
世纪城融江苑 3室2厅 2400元,世纪城融江苑  ,湘江世纪城租房,3室2厅  ,161平米  ,南 北,随时看房,2400,0,kaifu
九峰远见 1室1厅 1800元,九峰远见  ,省政府租房,1室1厅  ,44平米  ,南,/,1800,/,tianxin
高鑫麓城 3室2厅 2500元,高鑫麓城  ,商学院租房,3室2厅  ,90平米  ,南,随时看房,2500,13,yuelu
长沙奥林匹克花园 3室2厅 3500元,长沙奥林匹克花园  ,德思勤租房,3室2厅  ,125平米  ,南 北,/,3500,/,tianxin
业主诚意出租，价格优惠，房子大,兰亭玥岛  ,新开铺租房,2室2厅  ,90平米  ,西,随时看房,2100,7,tianxin
金霞银园 2室2厅 2000元,金霞银园  ,金霞租房,2室2厅  ,90平米  ,南,随时看房,2000,0,kaifu
永祺西京 3室2厅 3000元,永祺西京  ,河西步步高租房,3室2厅  ,125平米  ,南,随时看房,3000,5,yuelu
湘江北尚 4室2厅 4500元,湘江北尚  ,北辰三角洲租房,4室2厅  ,149平米  ,南,距离1号线北辰三角洲站519米,4500,0,kaifu
保利花园三期 2室2厅 2000元,保利花园三期  ,省政府租房,2室2厅  ,85平米  ,南,随时看房,2000,0,tianxin
新城新世界 3室2厅 3000元,新城新世界  ,高桥租房,3室2厅  ,130平米  ,南,距离城际铁路树木岭站站984米,3000,0,yuhua
佳天瑞宁花园 1室1厅 2000元,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,50平米  ,北,随时看房,2000,11,yuhua
山水华景 1室1厅 1680元,山水华景  ,马王堆租房,1室1厅  ,50平米  ,南,/,1680,/,furong
上海城 1室1厅 1400元,上海城  ,韶山南路租房,1室1厅  ,47平米  ,南,随时看房,1400,13,yuhua
中惠锦堂 4室2厅 4500元,中惠锦堂  ,尚东租房,4室2厅  ,142平米  ,南,距离2号线人民东路站427米,4500,2,furong
奥克斯广场商圈，板楼，环境物业好,世茂铂翠湾  ,滨江新城租房,4室2厅  ,130平米  ,南,随时看房,3000,1,yuelu
湘江豪庭一楼可商用办公培训，紧挨世纪金源。,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,南 北,距离1号线马厂站1025米,8500,25,kaifu
芙蓉明珠 1室1厅 2160元,芙蓉明珠  ,尚东租房,1室1厅  ,40平米  ,北,/,2160,/,furong
未来城 1室1厅 1500元,未来城  ,河西人人乐租房,1室1厅  ,43平米  ,西,随时看房,1500,5,yuelu
长沙欧洲城 2室2厅 2600元,长沙欧洲城  ,德思勤租房,2室2厅  ,84平米  ,南,随时看房,2600,0,tianxin
湘林小区 300平600平 商铺 入住率高,湘林小区  ,铁道学院租房,9室0厅  ,900平米  ,南,随时看房,54000,14,tianxin
北辰三角洲E6区 4室2厅 5000元,北辰三角洲E6区  ,北辰三角洲租房,4室2厅  ,140平米  ,南 北,距离1号线北辰三角洲站881米,5000,11,kaifu
才子佳苑简单装修两房 诚心出租 随时可看,才子佳苑二区2  ,四方坪租房,2室2厅  ,73平米  ,北,随时看房,2100,3,kaifu
世茂铂翠湾 4室2厅 2700元,世茂铂翠湾  ,滨江新城租房,4室2厅  ,135平米  ,南 北,随时看房,2700,1,yuelu
芙蓉明珠 1室0厅 2200元,芙蓉明珠  ,尚东租房,1室0厅  ,40平米  ,南,/,2200,/,furong
五矿沁园金城精装四房，小区舒适度高，全新家具家电,五矿沁园金城  ,福元西路租房,4室2厅  ,131平米  ,南,精装修,3600,0,kaifu
水木兰庭 3室1厅 1500元,水木兰庭  ,河西人人乐租房,3室1厅  ,105平米  ,南,随时看房,1500,0,yuelu
顺天黄金海岸 4室2厅 3000元,顺天黄金海岸  ,开福区政府租房,4室2厅  ,140平米  ,南,距离1号线马厂站575米,3000,19,kaifu
辉煌国际城 3室2厅 3000元,辉煌国际城  ,汽车东站租房,3室2厅  ,103平米  ,东,/,3000,/,furong
凯通公馆 1室0厅 1500元,凯通公馆  ,火车站租房,1室0厅  ,46平米  ,南,距离2号线长沙火车站站606米,1500,0,furong
金信阳光在线 3室2厅 2100元,金信阳光在线  ,井湾子租房,3室2厅  ,92平米  ,南,随时看房,2100,1,yuhua
上海城 1室1厅 1800元,上海城  ,韶山南路租房,1室1厅  ,53平米  ,南,随时看房,1800,16,yuhua
摩天一号 1室1厅 2500元,摩天一号  ,东塘租房,1室1厅  ,50平米  ,南,/,2500,/,tianxin
大五房，户型周正，采光足视野广。,长房天翼未来城  ,左家塘租房,5室2厅  ,185平米  ,南,/,6000,/,yuhua
长房天翼未来城 1室0厅 2000元,长房天翼未来城  ,左家塘租房,1室0厅  ,40平米  ,南,随时看房,2000,7,yuhua
万国城三期 3室2厅 3000元,万国城三期  ,福元西路租房,3室2厅  ,90平米  ,南 北,/,3000,/,kaifu
达美D6区 3室1厅 3300元,达美D6区  ,汽车西站租房,3室1厅  ,89平米  ,南,距离2号线望城坡站571米,3300,6,yuelu
保利三期优质四房，湘江东岸，省府之西,保利花园三期  ,省政府租房,4室2厅  ,156平米  ,东南,随时看房,3500,3,tianxin
天鸿中央大院 1室0厅 1600元,天鸿中央大院  ,铁道学院租房,1室0厅  ,40平米  ,南,随时看房,1600,15,tianxin
华银园 1室1厅 1600元,华银园  ,雨花亭租房,1室1厅  ,66平米  ,北,距离1号线涂家冲站1172米,1600,7,yuhua
香海西岸东区 3室2厅 3000元,香海西岸东区  ,滨江新城租房,3室2厅  ,129平米  ,南,随时看房,3000,2,yuelu
芙蓉明珠 1室1厅 2728元,芙蓉明珠  ,尚东租房,1室1厅  ,50平米  ,南,/,2728,/,furong
北辰三角洲奥城E4区 2室1厅 3000元,北辰三角洲奥城E4区  ,北辰三角洲租房,2室1厅  ,79平米  ,南,随时看房,3000,0,kaifu
郡原广场 2室1厅 2600元,郡原广场  ,河西步步高租房,2室1厅  ,69平米  ,东 西,随时看房,2600,0,yuelu
北辰三角洲D2区 2室2厅 3500元,北辰三角洲D2区  ,北辰三角洲租房,2室2厅  ,88平米  ,南,距离1号线北辰三角洲站306米,3500,1,kaifu
上东辛顿公寓 2室2厅 2300元,上东辛顿公寓  ,晚报租房,2室2厅  ,91平米  ,南,/,2300,/,furong
芙蓉明珠 3室3厅 3078元,芙蓉明珠  ,尚东租房,3室3厅  ,57平米  ,北,/,3078,/,furong
莲湖汽车饰品城小区 2室1厅 1500元,莲湖汽车饰品城小区  ,喜盈门租房,2室1厅  ,70平米  ,南,距离城际铁路湘府路站站968米,1500,2,yuhua
五矿万境水岸一期 2室2厅 1800元,五矿万境水岸一期  ,喜盈门租房,2室2厅  ,80平米  ,南,距离城际铁路湘府路站站706米,1800,8,yuhua
环达路桥 3室2厅 2200元,环达路桥  ,铁道学院租房,3室2厅  ,97平米  ,南 北,距离1号线友谊路站955米,2200,0,tianxin
北辰三角洲奥城E3区 4室2厅 8000元,北辰三角洲奥城E3区  ,北辰三角洲租房,4室2厅  ,170平米  ,南,距离1号线开福寺站1092米,8000,2,kaifu
凯轩云顶 3室1厅 3500元,凯轩云顶  ,赤岗冲租房,3室1厅  ,110平米  ,南,随时看房,3500,1,yuhua
上海城 4室2厅 2800元,上海城  ,韶山南路租房,4室2厅  ,130平米  ,南,随时看房,2800,2,yuhua
狮子山一片小区 2室1厅 1000元,狮子山一片小区  ,左家塘租房,2室1厅  ,50平米  ,南 北,随时看房,1000,4,yuhua
天一康园南区 4室2厅 4200元,天一康园南区  ,湘府路租房,4室2厅  ,160平米  ,南,/,4200,/,tianxin
保利花园，精装小三房，业主诚心出租，拎包入住,保利花园三期  ,省政府租房,3室2厅  ,83平米  ,南,随时看房,2000,11,tianxin
未来城 2室2厅 1900元,未来城  ,河西人人乐租房,2室2厅  ,74平米  ,东南,随时看房,1900,24,yuelu
银港水晶城 2室2厅 2100元,银港水晶城  ,马王堆租房,2室2厅  ,90平米  ,北,/,2100,/,furong
万科里梅溪郡 4室2厅 4000元,万科里梅溪郡  ,岳麓其他租房,4室2厅  ,138平米  ,南,/,4000,/,yuelu
景秀江山 2室1厅 2500元,景秀江山  ,银盆岭租房,2室1厅  ,86平米  ,南,随时看房,2500,0,yuelu
珠江花城四期拎包入住两房，很适合居家客户,珠江花城四期  ,福元西路租房,2室1厅  ,76平米  ,南,距离1号线马厂站888米,2400,10,kaifu
南北通透的精装空房南北通透大三房，主卧南北通透。,珠江花城四期  ,福元西路租房,3室2厅  ,122平米  ,南 北,距离1号线马厂站1126米,2800,4,kaifu
荷晏住宅小区 2室1厅 1900元,荷晏住宅小区  ,德政园租房,2室1厅  ,80平米  ,南,/,1900,/,furong
华盛世纪新城 4室1厅 2900元,华盛世纪新城  ,喜盈门租房,4室1厅  ,139平米  ,南 北,距离城际铁路湘府路站站846米,2900,5,yuhua
芙蓉明珠 1室1厅 2160元,芙蓉明珠  ,尚东租房,1室1厅  ,40平米  ,北,/,2160,/,furong
实惠两房，业主诚心出租，品质小区，交通便捷,佳天瑞宁花园  ,赤岗冲租房,2室1厅  ,85平米  ,南,随时看房,2200,16,yuhua
万煦园大三房，南北通透面积大，家电齐全，等你入住！,万煦园  ,四方坪租房,3室2厅  ,112平米  ,南,随时看房,2600,5,kaifu
湘府东苑 3室2厅 3700元,湘府东苑  ,湘府路租房,3室2厅  ,136平米  ,南 北,距离1号线省政府站754米,3700,0,tianxin
四方小区 4室2厅 2300元,四方小区  ,四方坪租房,4室2厅  ,150平米  ,南 北,随时看房,2300,4,kaifu
鑫远湘府华城南区 2室2厅 2300元,鑫远湘府华城南区  ,湘府路租房,2室2厅  ,88平米  ,南,随时看房,2300,6,tianxin
自住精装修 位置安静 湘府十城 采光充足,湘府十城  ,汽车南站租房,2室2厅  ,81平米  ,南,随时看房,2000,3,yuhua
万博汇名邸二期 4室2厅 5500元,万博汇名邸二期  ,雨花亭租房,4室2厅  ,177平米  ,南 北,/,5500,/,yuhua
湘府邻伴 2室2厅 2300元,湘府邻伴  ,德思勤租房,2室2厅  ,76平米  ,南,距离1号线省政府站833米,2300,1,tianxin
长城雅苑 2室2厅 2400元,长城雅苑  ,新开铺租房,2室2厅  ,90平米  ,南 北,距离1号线友谊路站462米,2400,0,tianxin
万博汇名邸一期 1室0厅 1700元,万博汇名邸一期  ,雨花亭租房,1室0厅  ,42平米  ,南,随时看房,1700,3,yuhua
鑫科明珠 2室1厅 2400元,鑫科明珠  ,马王堆租房,2室1厅  ,85平米  ,南 北,/,2400,/,furong
万科里金域滨江 3室2厅 2200元,万科里金域滨江  ,滨江新城租房,3室2厅  ,96平米  ,南,随时看房,2200,4,yuelu
岳麓现代城 4室2厅 6800元,岳麓现代城  ,溁湾镇租房,4室2厅  ,168平米  ,南,距离2号线溁湾镇站1014米,6800,0,yuelu
鑫远湘府华城南区 3室2厅 3000元,鑫远湘府华城南区  ,湘府路租房,3室2厅  ,138平米  ,南,距离1号线友谊路站473米,3000,0,tianxin
湘江豪庭 4室1厅 6000元,湘江豪庭  ,开福区政府租房,4室1厅  ,198平米  ,南,随时看房,6000,15,kaifu
湘江豪庭 4室1厅 3000元,湘江豪庭  ,开福区政府租房,4室1厅  ,200平米  ,南 北,距离1号线马厂站1025米,3000,1,kaifu
维一星城国际 1室0厅 5000元,维一星城国际  ,浏城桥租房,1室0厅  ,95平米  ,东,距离2号线袁家岭站1064米,5000,0,furong
芙蓉明珠 1室1厅 2160元,芙蓉明珠  ,尚东租房,1室1厅  ,40平米  ,北,/,2160,/,furong
阳光锦城 2室1厅 2400元,阳光锦城  ,雨花亭租房,2室1厅  ,65平米  ,北,随时看房,2400,5,yuhua
QQ生活馆 1室0厅 1600元,QQ生活馆  ,左家塘租房,1室0厅  ,54平米  ,南,随时看房,1600,3,yuhua
乾城 1室1厅 1600元,乾城  ,黄土岭租房,1室1厅  ,40平米  ,南,/,1600,/,tianxin
万国城三期 3室2厅 3000元,万国城三期  ,福元西路租房,3室2厅  ,89平米  ,南,/,3000,/,kaifu
湘府东苑 1室1厅 1500元,湘府东苑  ,湘府路租房,1室1厅  ,38平米  ,南,距离1号线省政府站858米,1500,7,tianxin
北辰定江洋 4室2厅 5000元,北辰定江洋  ,北辰三角洲租房,4室2厅  ,199平米  ,东 西,随时看房,5000,2,kaifu
牛角塘小区 2室1厅 1200元,牛角塘小区  ,东塘租房,2室1厅  ,56平米  ,南,随时看房,1200,1,yuhua
万科经典大三房，配套齐全，拎包入住,万科金域华府  ,武广新城租房,3室1厅  ,125平米  ,南,距离城际铁路香樟路站站1026米,3300,2,yuhua
钰龙天下二期 2室1厅 2400元,钰龙天下二期  ,市政府租房,2室1厅  ,80平米  ,南,随时看房,2400,0,yuelu
位置优越，环境舒适，交通便利。,长沙欧洲城  ,德思勤租房,2室2厅  ,89平米  ,南,距离1号线省政府站947米,3000,10,tianxin
西子一间办公大三房 采光好 格局好,西子一间  ,高桥租房,3室2厅  ,137平米  ,南,距离2号线万家丽广场站1064米,3100,26,yuhua
东方银座  两房装修好  家电齐全,东方银座  ,马王堆租房,2室1厅  ,78平米  ,南 北,距离2号线锦泰广场站971米,2300,0,furong
五矿万境水岸 精装三房 低楼层 家电齐全,五矿万境水岸一期  ,喜盈门租房,3室1厅  ,90平米  ,南,距离城际铁路湘府路站站838米,2800,5,yuhua
长沙奥林匹克花园 3室2厅 3500元,长沙奥林匹克花园  ,德思勤租房,3室2厅  ,130平米  ,南,/,3500,/,tianxin
蓝光雍锦阁 精装三房 全新家具家电  双公园在旁,蓝光雍锦阁  ,桐梓坡租房,3室2厅  ,123平米  ,南,随时看房,3200,4,yuelu
旭辉御府 2室2厅 2400元,旭辉御府  ,梅溪湖北岸租房,2室2厅  ,80平米  ,南,随时看房,2400,0,yuelu
万科城市花园 2室2厅 2000元,万科城市花园  ,梅溪湖北岸租房,2室2厅  ,76平米  ,南,/,2000,/,yuelu
湘江豪庭 4室1厅 5000元,湘江豪庭  ,开福区政府租房,4室1厅  ,199平米  ,南 北,距离1号线马厂站1025米,5000,8,kaifu
湘域熙岸 4室2厅 3800元,湘域熙岸  ,尚东租房,4室2厅  ,126平米  ,东南,距离2号线人民东路站406米,3800,0,furong
景香苑 3室2厅 2500元,景香苑  ,开福区政府租房,3室2厅  ,96平米  ,南,距离1号线马厂站606米,2500,1,kaifu
日出东方 2室1厅 2200元,日出东方  ,晚报租房,2室1厅  ,75平米  ,南,距离城际铁路长沙火车站站1129米,2200,0,furong
芙蓉明珠 1室1厅 1992元,芙蓉明珠  ,尚东租房,1室1厅  ,36平米  ,南,/,1992,/,furong
融科东南海 3室2厅 3100元,融科东南海  ,树木岭租房,3室2厅  ,99平米  ,南,随时看房,3100,4,yuhua
万芙锦城 3室2厅 3000元,万芙锦城  ,铁道学院租房,3室2厅  ,109平米  ,南,距离1号线友谊路站1139米,3000,0,tianxin
世纪城鸿江苑 4室2厅 3200元,世纪城鸿江苑  ,湘江世纪城租房,4室2厅  ,148平米  ,南 北,距离1号线开福区政府站1062米,3200,1,kaifu
花漾年华 1室1厅 1450元,花漾年华  ,省政府租房,1室1厅  ,38平米  ,南 北,随时看房,1450,15,tianxin
北辰三角洲奥城E3区 1室1厅 2400元,北辰三角洲奥城E3区  ,北辰三角洲租房,1室1厅  ,53平米  ,南,随时看房,2400,11,kaifu
佳天瑞宁花园 1室1厅 1900元,佳天瑞宁花园  ,赤岗冲租房,1室1厅  ,50平米  ,南,/,1900,/,yuhua
亚商国际 1室1厅 1500元,亚商国际  ,湘府路租房,1室1厅  ,47平米  ,南,/,1500,/,yuhua
达美D6区 3室2厅 3400元,达美D6区  ,汽车西站租房,3室2厅  ,90平米  ,南,距离2号线望城坡站571米,3400,2,yuelu
交通便利 居家装修  配套齐全,万事佳景园  ,金盆岭租房,3室2厅  ,130平米  ,北,随时看房,2700,10,tianxin
万博汇名邸一期 1室1厅 1800元,万博汇名邸一期  ,雨花亭租房,1室1厅  ,40平米  ,南,随时看房,1800,4,yuhua
新城新世界三房自带车位，家具家电齐全,新城新世界三期  ,高桥租房,3室2厅  ,90平米  ,南,距离城际铁路树木岭站站996米,2500,5,yuhua
湘府9号 2室1厅 2500元,湘府9号  ,德思勤租房,2室1厅  ,84平米  ,南,/,2500,/,tianxin
阳光锦城 2室1厅 2500元,阳光锦城  ,雨花亭租房,2室1厅  ,51平米  ,南,随时看房,2500,2,yuhua
中建芙蓉嘉苑 4室2厅 3200元,中建芙蓉嘉苑  ,暮云租房,4室2厅  ,145平米  ,南,距离1号线大托站383米,3200,1,tianxin
金谷大厦 1室1厅 1400元,金谷大厦  ,河西人人乐租房,1室1厅  ,45平米  ,南,随时看房,1400,9,yuelu
沁园春御院 1室1厅 1600元,沁园春御院  ,河西步步高租房,1室1厅  ,44平米  ,南,随时看房,1600,9,yuelu
绿地中央广场 3室1厅 2800元,绿地中央广场  ,观沙岭租房,3室1厅  ,99平米  ,南,/,2800,/,yuelu
滨江美寓 4室2厅 4000元,滨江美寓  ,开福区政府租房,4室2厅  ,164平米  ,南,距离1号线马厂站764米,4000,0,kaifu
听香水榭 1室0厅 1650元,听香水榭  ,四方坪租房,1室0厅  ,45平米  ,北,随时看房,1650,7,kaifu
业主诚心出租，价格优惠，万科自带物业。,万科城  ,福元西路租房,3室2厅  ,90平米  ,南,随时看房,2700,11,kaifu
芙蓉明珠 1室1厅 2190元,芙蓉明珠  ,尚东租房,1室1厅  ,40平米  ,南,/,2190,/,furong
浏阳河畔北苑 1室1厅 1800元,浏阳河畔北苑  ,马王堆租房,1室1厅  ,47平米  ,西,随时看房,1800,0,furong
湘府9号 2室1厅 2200元,湘府9号  ,德思勤租房,2室1厅  ,68平米  ,南,距离1号线省政府站860米,2200,0,tianxin
阳光嘉园 3室2厅 2700元,阳光嘉园  ,湘府路租房,3室2厅  ,145平米  ,南,/,2700,/,tianxin
尊邸华庭 3室2厅 2100元,尊邸华庭  ,赤岗冲租房,3室2厅  ,88平米  ,南,距离城际铁路树木岭站站516米,2100,2,yuhua
华盛世纪新城 4室1厅 2900元,华盛世纪新城  ,喜盈门租房,4室1厅  ,139平米  ,南 北,距离城际铁路湘府路站站846米,2900,4,yuhua
长房天翼未来城 1室0厅 1700元,长房天翼未来城  ,左家塘租房,1室0厅  ,38平米  ,南,随时看房,1700,5,yuhua
湘府9号 2室2厅 2200元,湘府9号  ,德思勤租房,2室2厅  ,80平米  ,南,距离1号线省政府站921米,2200,13,tianxin
宜居莱茵城 3室1厅 2500元,宜居莱茵城  ,河西人人乐租房,3室1厅  ,100平米  ,南,随时看房,2500,2,yuelu
雨花亭，办公大三房，可以随意装修，随时看房钥匙在手,融科三万英尺  ,雨花亭租房,4室2厅  ,124平米  ,南 北,距离1号线黄土岭站1113米,3400,11,yuhua
长沙奥林匹克花园 3室2厅 3500元,长沙奥林匹克花园  ,德思勤租房,3室2厅  ,136平米  ,南,随时看房,3500,8,tianxin
